63_61_63_62_59_61_60_57_59_63_62_58_55_57_61_60_53_55_58_56_54_51_49_51_55_63_62_59_53_61_60_57_52_50_47_45_47_51_58_56_54_46_43_41_43_47_55_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_59_57_41_42_34_31_29_31_35_43_58_56_54_51_46_45_44_37_38_36_30_27_25_27_31_39_55_53_52_50_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_59_57_47_42_41_34_33_32_30_29_28_27_58_56_54_51_46_45_44_43_38_37_36_35_26_25_24_23_55_53_52_50_49_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1703.272216,5.14e+03,0.4600,0.00
63_61_63_62_59_61_60_57_59_63_62_58_55_57_61_60_53_55_59_58_54_51_49_51_55_63_62_56_54_53_61_60_57_52_50_47_45_47_51_59_58_46_43_41_43_47_55_54_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_56_41_42_34_31_29_31_35_43_59_58_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_49_48_40_30_29_28_26_23_21_23_22_19_17_19_23_31_30_29_28_27_26_25_24_18_15_13_15_19_22_21_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_56_47_42_41_34_33_32_30_29_28_27_59_58_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_49_48_40_39_18_17_16_14_13_12_11_22_21_20_19_10_9_8_6_5_4_2,1707.288779,5.12e+03,0.4556,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_59_57_56_54_51_49_51_55_63_62_61_60_58_54_53_52_50_47_45_47_51_59_57_56_46_43_41_43_47_55_54_53_52_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_58_50_41_42_34_31_29_31_35_43_59_57_56_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_49_48_40_30_29_28_26_23_21_23_22_19_17_19_23_31_30_29_28_27_26_25_24_18_15_13_15_19_22_21_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_58_50_47_42_41_34_33_32_30_29_28_27_59_57_56_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_49_48_40_39_18_17_16_14_13_12_11_22_21_20_19_10_9_8_6_5_4_2,1695.411812,5.10e+03,0.4933,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_57_53_55_59_58_56_54_51_49_51_55_63_62_61_60_54_53_57_52_50_47_45_47_51_59_58_56_46_43_41_43_47_55_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_54_41_42_34_31_29_31_35_43_59_58_56_51_46_45_44_37_38_36_30_27_25_27_31_39_55_53_52_50_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_54_47_42_41_34_33_32_30_29_28_27_59_58_56_51_46_45_44_43_38_37_36_35_26_25_24_23_55_53_52_50_49_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1699.006134,5.12e+03,0.4668,0.00
63_61_63_62_59_60_57_59_63_62_61_58_55_57_60_53_55_59_58_54_51_49_51_55_63_62_61_56_54_53_60_57_52_50_47_45_47_51_59_58_46_43_41_43_47_55_54_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_56_41_42_34_31_29_31_35_43_59_58_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_13_15_19_20_17_18_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_56_47_42_41_34_33_32_30_29_28_27_59_58_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_49_48_40_39_22_21_16_14_13_12_11_20_19_18_17_10_9_8_6_5_4_2,1709.619680,5.17e+03,0.5843,0.00
63_61_63_62_59_61_60_57_59_63_62_58_55_57_61_60_53_55_59_58_56_54_51_49_51_55_63_62_54_53_61_60_57_52_50_47_45_47_51_59_58_56_46_43_41_43_47_55_54_53_52_50_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_49_41_42_34_31_29_31_35_43_59_58_56_51_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_49_47_42_41_34_33_32_30_29_28_27_59_58_56_51_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1707.707164,5.16e+03,0.4619,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_53_55_58_57_56_54_51_49_51_55_63_62_61_60_59_53_52_50_47_45_47_51_58_57_56_54_46_43_41_43_47_55_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_59_41_42_36_34_31_29_31_35_43_58_57_56_54_51_46_45_44_37_38_30_27_25_27_31_39_55_53_52_50_49_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_59_47_42_41_36_34_33_32_30_29_28_27_58_57_56_54_51_46_45_44_43_38_37_35_26_25_24_23_55_53_52_50_49_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1692.281836,5.09e+03,0.4893,0.00
63_61_63_62_59_57_59_63_62_61_60_58_55_56_53_55_59_58_54_51_49_51_55_63_62_61_60_57_54_53_56_52_50_47_45_47_51_59_58_49_46_43_41_43_47_55_54_53_52_50_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_56_41_42_34_31_29_31_35_43_59_58_51_49_46_45_44_37_38_36_30_27_25_27_31_39_55_54_53_52_50_48_40_30_29_28_26_23_21_23_19_17_19_23_31_30_29_28_27_26_25_24_21_22_15_17_18_13_15_19_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_56_47_42_41_34_33_32_30_29_28_27_59_58_51_49_46_45_44_43_38_37_36_35_26_25_24_23_55_54_53_52_50_48_40_39_22_21_16_14_13_18_17_12_11_20_19_10_9_8_6_5_4_2,1698.304815,5.12e+03,0.4615,0.00
63_61_63_62_59_61_57_59_63_62_60_58_55_57_61_53_55_59_58_56_54_51_49_51_55_63_62_60_53_61_57_52_50_47_45_47_51_59_58_56_54_46_43_41_43_47_55_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_41_42_36_34_31_29_31_35_43_59_58_56_54_51_46_45_44_37_38_30_27_25_27_31_39_55_53_52_50_49_48_40_30_29_28_26_23_21_23_22_19_17_19_23_31_30_29_28_27_26_25_24_18_15_13_15_19_22_21_20_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_47_42_41_36_34_33_32_30_29_28_27_59_58_56_54_51_46_45_44_43_38_37_35_26_25_24_23_55_53_52_50_49_48_40_39_18_17_16_14_13_12_11_22_21_20_19_10_9_8_6_5_4_2,1704.497914,5.14e+03,0.4585,0.00
63_61_63_62_59_61_60_57_59_63_62_58_55_57_61_60_53_55_59_58_56_54_51_49_51_55_63_62_54_53_61_60_57_52_50_47_45_47_51_59_58_56_46_43_41_43_47_55_53_52_50_49_48_39_37_39_43_35_33_35_39_47_63_62_61_60_57_54_41_42_34_31_29_31_35_43_59_58_56_51_46_45_44_37_38_36_30_27_25_27_31_39_55_53_52_50_49_48_40_30_29_28_26_23_21_23_19_21_17_19_23_31_30_29_28_27_26_25_24_20_15_17_21_22_18_13_15_14_11_9_11_15_14_13_12_10_7_5_7_6_3_1_3_7_15_31_63_62_61_60_57_54_47_42_41_34_33_32_30_29_28_27_59_58_56_51_46_45_44_43_38_37_36_35_26_25_24_23_55_53_52_50_49_48_40_39_20_19_16_14_13_22_21_18_17_12_11_10_9_8_6_5_4_2,1709.667470,5.14e+03,0.4700,0.00
